replicate	tool	TP	FP	FN	precision	recall	F1	empirical_FDR	n_called
1	edgeR	73	620	27	0.105339105	0.73	0.184110971	0.894660895	693
1	DESeq2	65	103	35	0.386904762	0.65	0.485074627	0.613095238	168
1	ALDEx2	59	0	41	1	0.59	0.742138365	0	59
1	metaSeq	70	13	30	0.843373494	0.7	0.765027322	0.156626506	83
1	ADAPT	71	11	29	0.865853659	0.71	0.78021978	0.134146341	82
1	ANCOMBC2	38	280	62	0.119496855	0.38	0.181818182	0.880503145	318
1	MaAsLin3	38	9	62	0.808510638	0.38	0.517006803	0.191489362	47
1	Union	76	785	24	0.088269454	0.76	0.158168574	0.911730546	861
1	Vote_2of7	72	206	28	0.258992806	0.72	0.380952381	0.741007194	278
1	Vote_3of7	69	36	31	0.657142857	0.69	0.673170732	0.342857143	105
1	Vote_4of7	64	7	36	0.901408451	0.64	0.748538012	0.098591549	71
1	Vote_5of7	57	2	43	0.966101695	0.57	0.716981132	0.033898305	59
1	Vote_6of7	40	0	60	1	0.4	0.571428571	0	40
1	Intersect	36	0	64	1	0.36	0.529411765	0	36
1	Fisher	75	503	25	0.129757785	0.75	0.221238938	0.870242215	578
1	Stouffer	74	328	26	0.184079602	0.74	0.294820717	0.815920398	402
1	Cauchy	75	590	25	0.112781955	0.75	0.196078431	0.887218045	665
2	edgeR	74	793	26	0.085351788	0.74	0.153050672	0.914648212	867
2	DESeq2	62	106	38	0.369047619	0.62	0.462686567	0.630952381	168
2	ALDEx2	53	1	47	0.981481481	0.53	0.688311688	0.018518519	54
2	metaSeq	62	8	38	0.885714286	0.62	0.729411765	0.114285714	70
2	ADAPT	67	13	33	0.8375	0.67	0.744444444	0.1625	80
2	ANCOMBC2	29	384	71	0.070217918	0.29	0.113060429	0.929782082	413
2	MaAsLin3	24	7	76	0.774193548	0.24	0.366412214	0.225806452	31
2	Union	74	926	26	0.074	0.74	0.134545455	0.926	1000
2	Vote_2of7	67	306	33	0.179624665	0.67	0.283298097	0.820375335	373
2	Vote_3of7	64	70	36	0.47761194	0.64	0.547008547	0.52238806	134
2	Vote_4of7	62	7	38	0.898550725	0.62	0.733727811	0.101449275	69
2	Vote_5of7	51	3	49	0.944444444	0.51	0.662337662	0.055555556	54
2	Vote_6of7	32	0	68	1	0.32	0.484848485	0	32
2	Intersect	21	0	79	1	0.21	0.347107438	0	21
2	Fisher	74	622	26	0.106321839	0.74	0.185929648	0.893678161	696
2	Stouffer	72	409	28	0.14968815	0.72	0.247848537	0.85031185	481
2	Cauchy	74	687	26	0.097240473	0.74	0.171893148	0.902759527	761
3	edgeR	77	770	23	0.090909091	0.77	0.162618796	0.909090909	847
3	DESeq2	66	128	34	0.340206186	0.66	0.448979592	0.659793814	194
3	ALDEx2	59	0	41	1	0.59	0.742138365	0	59
3	metaSeq	69	9	31	0.884615385	0.69	0.775280899	0.115384615	78
3	ADAPT	70	13	30	0.843373494	0.7	0.765027322	0.156626506	83
3	ANCOMBC2	39	304	61	0.113702624	0.39	0.176072235	0.886297376	343
3	MaAsLin3	35	7	65	0.833333333	0.35	0.492957746	0.166666667	42
3	Union	78	896	22	0.080082136	0.78	0.145251397	0.919917864	974
3	Vote_2of7	71	279	29	0.202857143	0.71	0.315555556	0.797142857	350
3	Vote_3of7	68	45	32	0.601769912	0.68	0.638497653	0.398230088	113
3	Vote_4of7	66	8	34	0.891891892	0.66	0.75862069	0.108108108	74
3	Vote_5of7	58	3	42	0.950819672	0.58	0.720496894	0.049180328	61
3	Vote_6of7	43	0	57	1	0.43	0.601398601	0	43
3	Intersect	31	0	69	1	0.31	0.473282443	0	31
3	Fisher	75	603	25	0.110619469	0.75	0.192802057	0.889380531	678
3	Stouffer	73	394	27	0.156316916	0.73	0.257495591	0.843683084	467
3	Cauchy	76	669	24	0.102013423	0.76	0.179881657	0.897986577	745
4	edgeR	80	812	20	0.089686099	0.8	0.161290323	0.910313901	892
4	DESeq2	69	167	31	0.292372881	0.69	0.410714286	0.707627119	236
4	ALDEx2	63	6	37	0.913043478	0.63	0.74556213	0.086956522	69
4	metaSeq	70	22	30	0.760869565	0.7	0.729166667	0.239130435	92
4	ADAPT	75	13	25	0.852272727	0.75	0.79787234	0.147727273	88
4	ANCOMBC2	39	371	61	0.095121951	0.39	0.152941176	0.904878049	410
4	MaAsLin3	33	16	67	0.673469388	0.33	0.44295302	0.326530612	49
4	Union	80	930	20	0.079207921	0.8	0.144144144	0.920792079	1010
4	Vote_2of7	75	337	25	0.182038835	0.75	0.29296875	0.817961165	412
4	Vote_3of7	72	106	28	0.404494382	0.72	0.517985612	0.595505618	178
4	Vote_4of7	69	18	31	0.793103448	0.69	0.737967914	0.206896552	87
4	Vote_5of7	61	10	39	0.85915493	0.61	0.713450292	0.14084507	71
4	Vote_6of7	42	4	58	0.913043478	0.42	0.575342466	0.086956522	46
4	Intersect	30	2	70	0.9375	0.3	0.454545455	0.0625	32
4	Fisher	80	639	20	0.111265647	0.8	0.195360195	0.888734353	719
4	Stouffer	79	453	21	0.148496241	0.79	0.25	0.851503759	532
4	Cauchy	80	723	20	0.099626401	0.8	0.177187154	0.900373599	803
5	edgeR	79	731	21	0.097530864	0.79	0.173626374	0.902469136	810
5	DESeq2	65	120	35	0.351351351	0.65	0.456140351	0.648648649	185
5	ALDEx2	59	0	41	1	0.59	0.742138365	0	59
5	metaSeq	69	13	31	0.841463415	0.69	0.758241758	0.158536585	82
5	ADAPT	71	9	29	0.8875	0.71	0.788888889	0.1125	80
5	ANCOMBC2	38	303	62	0.11143695	0.38	0.172335601	0.88856305	341
5	MaAsLin3	35	5	65	0.875	0.35	0.5	0.125	40
5	Union	79	860	21	0.084132055	0.79	0.152069297	0.915867945	939
5	Vote_2of7	71	254	29	0.218461538	0.71	0.334117647	0.781538462	325
5	Vote_3of7	70	54	30	0.564516129	0.7	0.625	0.435483871	124
5	Vote_4of7	65	10	35	0.866666667	0.65	0.742857143	0.133333333	75
5	Vote_5of7	59	3	41	0.951612903	0.59	0.728395062	0.048387097	62
5	Vote_6of7	41	0	59	1	0.41	0.581560284	0	41
5	Intersect	31	0	69	1	0.31	0.473282443	0	31
5	Fisher	74	549	26	0.118780096	0.74	0.204702628	0.881219904	623
5	Stouffer	74	364	26	0.168949772	0.74	0.275092937	0.831050228	438
5	Cauchy	74	628	26	0.105413105	0.74	0.184538653	0.894586895	702
6	edgeR	86	675	14	0.113009198	0.86	0.199767712	0.886990802	761
6	DESeq2	75	96	25	0.438596491	0.75	0.553505535	0.561403509	171
6	ALDEx2	67	0	33	1	0.67	0.80239521	0	67
6	metaSeq	84	14	16	0.857142857	0.84	0.848484848	0.142857143	98
6	ADAPT	83	6	17	0.93258427	0.83	0.878306878	0.06741573	89
6	ANCOMBC2	39	376	61	0.093975904	0.39	0.151456311	0.906024096	415
6	MaAsLin3	38	6	62	0.863636364	0.38	0.527777778	0.136363636	44
6	Union	88	850	12	0.093816631	0.88	0.16955684	0.906183369	938
6	Vote_2of7	84	263	16	0.242074928	0.84	0.375838926	0.757925072	347
6	Vote_3of7	83	47	17	0.638461538	0.83	0.72173913	0.361538462	130
6	Vote_4of7	73	11	27	0.869047619	0.73	0.793478261	0.130952381	84
6	Vote_5of7	67	2	33	0.971014493	0.67	0.792899408	0.028985507	69
6	Vote_6of7	44	0	56	1	0.44	0.611111111	0	44
6	Intersect	33	0	67	1	0.33	0.496240602	0	33
6	Fisher	87	578	13	0.130827068	0.87	0.22745098	0.869172932	665
6	Stouffer	84	374	16	0.183406114	0.84	0.301075269	0.816593886	458
6	Cauchy	88	658	12	0.117962466	0.88	0.208037825	0.882037534	746
